Measure,Location,Indicator,Time,Indicator_Status,Indicator_Value,Amount,Unemployment_Rate
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2016Q1,72,Accommodation and Food Services,1892
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2019Q1,72,Accommodation and Food Services,2160
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2020Q1,72,Accommodation and Food Services,2516
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2022Q2,72,Accommodation and Food Services,2819
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2020Q3,72,Accommodation and Food Services,2349
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2020Q4,72,Accommodation and Food Services,2485
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2017Q2,72,Accommodation and Food Services,996
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2018Q1,72,Accommodation and Food Services,235
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2019Q1,72,Accommodation and Food Services,302
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2016Q3,72,Accommodation and Food Services,-990
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2016Q2,72,Accommodation and Food Services,6558
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2018Q2,72,Accommodation and Food Services,6938
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2022Q2,72,Accommodation and Food Services,6995
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2019Q3,72,Accommodation and Food Services,6620
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2021Q3,72,Accommodation and Food Services,7535
Separations,Baltimore City WIA,Maryland Separations by Industry,2018Q1,72,Accommodation and Food Services,5740
New Hires,Baltimore City WIA,Maryland New Hires by Industry,2020Q3,72,Accommodation and Food Services,3920
Separations,Baltimore City WIA,Maryland Separations by Industry,2020Q2,72,Accommodation and Food Services,5065
Separations,Baltimore City WIA,Maryland Separations by Industry,2021Q3,72,Accommodation and Food Services,6854
Separations,Baltimore City WIA,Maryland Separations by Industry,2019Q4,72,Accommodation and Food Services,6724
Turnover,Baltimore City WIA,Maryland Turnover Rate by Industry,2020Q1,72,Accommodation and Food Services,19.3
Turnover,Baltimore City WIA,Maryland Turnover Rate by Industry,2022Q2,72,Accommodation and Food Services,16.6
Turnover,Baltimore City WIA,Maryland Turnover Rate by Industry,2017Q4,72,Accommodation and Food Services,15.1
Workers,Baltimore City WIA,Maryland Workers by Industry,2017Q2,72,Accommodation and Food Services,23347
Workers,Baltimore City WIA,Maryland Workers by Industry,2021Q2,72,Accommodation and Food Services,14639
Workers,Baltimore City WIA,Maryland Workers by Industry,2019Q3,72,Accommodation and Food Services,24522
Workers,Baltimore City WIA,Maryland Workers by Industry,2021Q3,72,Accommodation and Food Services,18017
Workers,Baltimore City WIA,Maryland Workers by Industry,2019Q4,72,Accommodation and Food Services,23855
Workers,Baltimore City WIA,Maryland Workers by Industry,2022Q4,72,Accommodation and Food Services,20588
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2020Q1,62,Health Care and Social Assistance,5236
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2017Q2,62,Health Care and Social Assistance,5144
Earnings,Baltimore City WIA,Maryland Average Earnings by Industry,2020Q2,62,Health Care and Social Assistance,5418
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2015Q2,62,Health Care and Social Assistance,-1097
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2021Q2,62,Health Care and Social Assistance,532
Job Change,Baltimore City WIA,Maryland Job Net Change by Industry,2020Q2,62,Health Care and Social Assistance,-1698
