Maryland,2015Q1,Maryland Separations by Age,A01,14-18,,Seperation,12988,
Maryland,2015Q1,Maryland Separations by Age,A02,19-21,,Seperation,31360,
Maryland,2015Q1,Maryland Separations by Age,A03,22-24,,Seperation,34508,
Maryland,2015Q1,Maryland Separations by Age,A04,25-34,,Seperation,80442,
Maryland,2015Q1,Maryland Separations by Age,A05,35-44,,Seperation,53515,
Maryland,2015Q1,Maryland Separations by Age,A06,45-54,,Seperation,48383,
Maryland,2015Q1,Maryland Separations by Age,A07,55-64,,Seperation,32627,
Maryland,2015Q1,Maryland Separations by Age,A08,65-99,,Seperation,15920,
Maryland,2015Q1,Maryland Separations by Education All,E0,All,,Seperation,309742,
Maryland,2015Q1,Maryland Separations by Education,E1,Less than High school,,Seperation,38522,
Maryland,2015Q1,Maryland Separations by Education,E2,"High school or equivalent, no college",,Seperation,64462,
Maryland,2015Q1,Maryland Separations by Education,E3,Some college or Associate degree,,Seperation,68241,
Maryland,2015Q1,Maryland Separations by Education,E4,Bachelor's degree or advanced degree,,Seperation,59662,
Maryland,2015Q1,Maryland Separations by Education,E5,Educational attainment not available (workers aged 24 or younger),,Seperation,78856,
Maryland,2015Q1,Maryland Separations by Gender,1,Male,,Seperation,158315,
Maryland,2015Q1,Maryland Separations by Gender,2,Female,,Seperation,151427,
Maryland,2015Q1,Maryland Separations by Industry,11,"Agriculture, Forestry, Fishing and Hunting",,Seperation,622,
Maryland,2015Q1,Maryland Separations by Industry,21,"Mining, Quarrying, and Oil and Gas Extraction",,Seperation,155,
Maryland,2015Q1,Maryland Separations by Industry,22,Utilities,,Seperation,559,
Maryland,2015Q1,Maryland Separations by Industry,23,Construction,,Seperation,22139,
Maryland,2015Q1,Maryland Separations by Industry,31-33,Manufacturing,,Seperation,7391,
Maryland,2015Q1,Maryland Separations by Industry,42,Wholesale Trade,,Seperation,7520,
Maryland,2015Q1,Maryland Separations by Industry,44-45,Retail Trade,,Seperation,54110,
Maryland,2015Q1,Maryland Separations by Industry,48-49,Transportation and Warehousing,,Seperation,13001,
Maryland,2015Q1,Maryland Separations by Industry,51,Information,,Seperation,4188,
Maryland,2015Q1,Maryland Separations by Industry,52,Finance and Insurance,,Seperation,7114,
Maryland,2015Q1,Maryland Separations by Industry,53,Real Estate and Rental and Leasing,,Seperation,4376,
Maryland,2015Q1,Maryland Separations by Industry,54,"Professional, Scientific, and Technical Services",,Seperation,23637,
Maryland,2015Q1,Maryland Separations by Industry,55,Management of Companies and Enterprises,,Seperation,2801,
Maryland,2015Q1,Maryland Separations by Industry,56,Administrative and Support and Waste Management and Remediation Services,,Seperation,41343,
Maryland,2015Q1,Maryland Separations by Industry,61,Educational Services,,Seperation,14411,
Maryland,2015Q1,Maryland Separations by Industry,62,Health Care and Social Assistance,,Seperation,36442,
Maryland,2015Q1,Maryland Separations by Industry,71,"Arts, Entertainment, and Recreation",,Seperation,7157,
Maryland,2015Q1,Maryland Separations by Industry,72,Accommodation and Food Services,,Seperation,45051,
Maryland,2015Q1,Maryland Separations by Industry,81,Other Services (except Public Administration),,Seperation,13256,
Maryland,2015Q1,Maryland Separations by Industry,92,Public Administration,,Seperation,4472,
Maryland,2015Q2,Maryland Separations by Age,A01,14-18,,Seperation,17760,
Maryland,2015Q2,Maryland Separations by Age,A02,19-21,,Seperation,36980,
Maryland,2015Q2,Maryland Separations by Age,A03,22-24,,Seperation,41935,
Maryland,2015Q2,Maryland Separations by Age,A04,25-34,,Seperation,97384,
Maryland,2015Q2,Maryland Separations by Age,A05,35-44,,Seperation,63765,
Maryland,2015Q2,Maryland Separations by Age,A06,45-54,,Seperation,57481,
Maryland,2015Q2,Maryland Separations by Age,A07,55-64,,Seperation,39010,
Maryland,2015Q2,Maryland Separations by Age,A08,65-99,,Seperation,20266,
Maryland,2015Q2,Maryland Separations by Education All,E0,All,,Seperation,374582,
Maryland,2015Q2,Maryland Separations by Education,E1,Less than High school,,Seperation,45766,
Maryland,2015Q2,Maryland Separations by Education,E2,"High school or equivalent, no college",,Seperation,76783,
Maryland,2015Q2,Maryland Separations by Education,E3,Some college or Associate degree,,Seperation,81508,
Maryland,2015Q2,Maryland Separations by Education,E4,Bachelor's degree or advanced degree,,Seperation,73849,
Maryland,2015Q2,Maryland Separations by Education,E5,Educational attainment not available (workers aged 24 or younger),,Seperation,96675,
Maryland,2015Q2,Maryland Separations by Gender,1,Male,,Seperation,188798,
Maryland,2015Q2,Maryland Separations by Gender,2,Female,,Seperation,185785,
Maryland,2015Q2,Maryland Separations by Industry,11,"Agriculture, Forestry, Fishing and Hunting",,Seperation,1160,
Maryland,2015Q2,Maryland Separations by Industry,21,"Mining, Quarrying, and Oil and Gas Extraction",,Seperation,167,
Maryland,2015Q2,Maryland Separations by Industry,22,Utilities,,Seperation,343,
Maryland,2015Q2,Maryland Separations by Industry,23,Construction,,Seperation,25244,
Maryland,2015Q2,Maryland Separations by Industry,31-33,Manufacturing,,Seperation,8370,
Maryland,2015Q2,Maryland Separations by Industry,42,Wholesale Trade,,Seperation,8710,
Maryland,2015Q2,Maryland Separations by Industry,44-45,Retail Trade,,Seperation,51171,
Maryland,2015Q2,Maryland Separations by Industry,48-49,Transportation and Warehousing,,Seperation,12116,
Maryland,2015Q2,Maryland Separations by Industry,51,Information,,Seperation,6710,
Maryland,2015Q2,Maryland Separations by Industry,52,Finance and Insurance,,Seperation,7525,
Maryland,2015Q2,Maryland Separations by Industry,53,Real Estate and Rental and Leasing,,Seperation,5076,
Maryland,2015Q2,Maryland Separations by Industry,54,"Professional, Scientific, and Technical Services",,Seperation,30145,
Maryland,2015Q2,Maryland Separations by Industry,55,Management of Companies and Enterprises,,Seperation,2352,
Maryland,2015Q2,Maryland Separations by Industry,56,Administrative and Support and Waste Management and Remediation Services,,Seperation,50495,
Maryland,2015Q2,Maryland Separations by Industry,61,Educational Services,,Seperation,33126,
Maryland,2015Q2,Maryland Separations by Industry,62,Health Care and Social Assistance,,Seperation,39658,
Maryland,2015Q2,Maryland Separations by Industry,71,"Arts, Entertainment, and Recreation",,Seperation,10436,
Maryland,2015Q2,Maryland Separations by Industry,72,Accommodation and Food Services,,Seperation,60456,
