Measure,Location,Indicator,Time,Indicator_Status,Indicator_Value,Amount,Unemployment_Rate
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2021Q3,72,Accommodation and Food Services,2268
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2015Q2,72,Accommodation and Food Services,1006
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2015Q3,72,Accommodation and Food Services,-543
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2015Q3,72,Accommodation and Food Services,5307
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2019Q3,72,Accommodation and Food Services,5245
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2018Q4,72,Accommodation and Food Services,4425
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2015Q2,72,Accommodation and Food Services,4751
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2019Q3,72,Accommodation and Food Services,6308
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2015Q1,72,Accommodation and Food Services,16.1
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2021Q1,72,Accommodation and Food Services,15.7
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2019Q2,72,Accommodation and Food Services,15.5
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q2,72,Accommodation and Food Services,18573
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q3,72,Accommodation and Food Services,19007
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q4,72,Accommodation and Food Services,17946
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2020Q2,62,Health Care and Social Assistance,4293
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2019Q3,62,Health Care and Social Assistance,4210
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q1,62,Health Care and Social Assistance,192
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2020Q3,62,Health Care and Social Assistance,1109
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q4,62,Health Care and Social Assistance,-60
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2022Q1,62,Health Care and Social Assistance,3311
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2021Q2,62,Health Care and Social Assistance,3341
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2017Q4,62,Health Care and Social Assistance,2859
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2018Q2,62,Health Care and Social Assistance,3126
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2015Q3,62,Health Care and Social Assistance,3414
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2018Q4,62,Health Care and Social Assistance,3348
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2015Q1,62,Health Care and Social Assistance,7.7
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2021Q1,62,Health Care and Social Assistance,9
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2019Q3,62,Health Care and Social Assistance,8.5
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2020Q2,62,Health Care and Social Assistance,26167
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q4,62,Health Care and Social Assistance,25757
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2016Q1,56,Administrative and Support and Waste Management and Remediation Services,4055
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2022Q1,56,Administrative and Support and Waste Management and Remediation Services,5532
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2021Q2,56,Administrative and Support and Waste Management and Remediation Services,4876
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2019Q4,56,Administrative and Support and Waste Management and Remediation Services,4767
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q2,56,Administrative and Support and Waste Management and Remediation Services,1539
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2022Q3,56,Administrative and Support and Waste Management and Remediation Services,0
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2018Q1,56,Administrative and Support and Waste Management and Remediation Services,3881
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2016Q2,56,Administrative and Support and Waste Management and Remediation Services,5489
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2022Q2,56,Administrative and Support and Waste Management and Remediation Services,6142
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2021Q3,56,Administrative and Support and Waste Management and Remediation Services,6401
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2022Q3,56,Administrative and Support and Waste Management and Remediation Services,0
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2016Q2,56,Administrative and Support and Waste Management and Remediation Services,13.4
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q1,56,Administrative and Support and Waste Management and Remediation Services,16903
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2021Q1,56,Administrative and Support and Waste Management and Remediation Services,17054
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2019Q1,11,"Agriculture, Forestry, Fishing and Hunting",2858
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2016Q2,11,"Agriculture, Forestry, Fishing and Hunting",3329
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2015Q3,11,"Agriculture, Forestry, Fishing and Hunting",2739
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2022Q3,11,"Agriculture, Forestry, Fishing and Hunting",0
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2022Q1,11,"Agriculture, Forestry, Fishing and Hunting",326
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q3,11,"Agriculture, Forestry, Fishing and Hunting",-38
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2021Q3,11,"Agriculture, Forestry, Fishing and Hunting",-151
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q4,11,"Agriculture, Forestry, Fishing and Hunting",-76
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2021Q4,11,"Agriculture, Forestry, Fishing and Hunting",-114
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2022Q1,11,"Agriculture, Forestry, Fishing and Hunting",307
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2019Q2,11,"Agriculture, Forestry, Fishing and Hunting",207
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2021Q3,11,"Agriculture, Forestry, Fishing and Hunting",117
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2019Q1,11,"Agriculture, Forestry, Fishing and Hunting",67
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2016Q2,11,"Agriculture, Forestry, Fishing and Hunting",157
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2015Q3,11,"Agriculture, Forestry, Fishing and Hunting",143
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2020Q3,11,"Agriculture, Forestry, Fishing and Hunting",180
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2017Q4,11,"Agriculture, Forestry, Fishing and Hunting",193
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2018Q2,11,"Agriculture, Forestry, Fishing and Hunting",11.200000000000001
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2016Q3,11,"Agriculture, Forestry, Fishing and Hunting",15
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2021Q3,11,"Agriculture, Forestry, Fishing and Hunting",18.099999999999998
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2021Q4,11,"Agriculture, Forestry, Fishing and Hunting",207
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2018Q4,11,"Agriculture, Forestry, Fishing and Hunting",6.2
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q1,11,"Agriculture, Forestry, Fishing and Hunting",623
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q3,11,"Agriculture, Forestry, Fishing and Hunting",813
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2015Q4,11,"Agriculture, Forestry, Fishing and Hunting",746
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2021Q4,11,"Agriculture, Forestry, Fishing and Hunting",658
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2020Q1,71,"Arts, Entertainment, and Recreation",2235
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2019Q3,71,"Arts, Entertainment, and Recreation",2070
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2016Q2,71,"Arts, Entertainment, and Recreation",2960
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2016Q4,71,"Arts, Entertainment, and Recreation",2217
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2015Q1,71,"Arts, Entertainment, and Recreation",94
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q2,71,"Arts, Entertainment, and Recreation",1394
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2020Q1,71,"Arts, Entertainment, and Recreation",-1552
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2020Q4,71,"Arts, Entertainment, and Recreation",-241
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2018Q1,71,"Arts, Entertainment, and Recreation",783
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2016Q2,71,"Arts, Entertainment, and Recreation",1524
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2020Q2,71,"Arts, Entertainment, and Recreation",211
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2018Q3,71,"Arts, Entertainment, and Recreation",1181
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2017Q4,71,"Arts, Entertainment, and Recreation",823
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2021Q4,71,"Arts, Entertainment, and Recreation",859
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2018Q2,71,"Arts, Entertainment, and Recreation",1130
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2016Q3,71,"Arts, Entertainment, and Recreation",2327
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2022Q3,71,"Arts, Entertainment, and Recreation",0
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2016Q1,71,"Arts, Entertainment, and Recreation",13.3
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2021Q1,71,"Arts, Entertainment, and Recreation",12.4
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2019Q2,71,"Arts, Entertainment, and Recreation",16
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2022Q3,71,"Arts, Entertainment, and Recreation",0
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2020Q4,71,"Arts, Entertainment, and Recreation",15.4
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2015Q2,71,"Arts, Entertainment, and Recreation",3802
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q1,71,"Arts, Entertainment, and Recreation",4191
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2021Q2,71,"Arts, Entertainment, and Recreation",2430
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2020Q3,71,"Arts, Entertainment, and Recreation",2561
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2015Q1,23,Construction,4580
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2015Q2,23,Construction,4947
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2020Q2,23,Construction,5382
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2017Q3,23,Construction,5306
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2021Q4,23,Construction,7157
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q1,23,Construction,18
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2015Q2,23,Construction,806
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2021Q2,23,Construction,364
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q3,23,Construction,-34
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2019Q1,23,Construction,1882
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2022Q2,23,Construction,2352
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2020Q3,23,Construction,1770
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2017Q4,23,Construction,1952
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2015Q1,23,Construction,1965
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2020Q1,23,Construction,2444
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2018Q2,23,Construction,2409
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2021Q3,23,Construction,2241
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2020Q1,23,Construction,7.3999999999999995
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2022Q2,23,Construction,0
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2017Q2,23,Construction,7.9
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2018Q3,23,Construction,9.2
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2015Q4,23,Construction,8.200000000000001
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2015Q2,23,Construction,16242
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2019Q2,23,Construction,17805
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2016Q3,23,Construction,18260
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2021Q3,23,Construction,17034
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2017Q4,23,Construction,18063
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2016Q2,61,Educational Services,3969
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2021Q2,61,Educational Services,5353
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2019Q3,61,Educational Services,4154
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2019Q4,61,Educational Services,4923
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q1,61,Educational Services,342
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2016Q2,61,Educational Services,-587
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2021Q2,61,Educational Services,-51
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q3,61,Educational Services,258
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2018Q4,61,Educational Services,329
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2022Q3,61,Educational Services,0
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2015Q4,61,Educational Services,999
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2019Q2,61,Educational Services,999
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2019Q1,61,Educational Services,957
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2022Q1,61,Educational Services,982
New Hires,Mid-Maryland WIA,Maryland New Hires by Industry,2017Q3,61,Educational Services,1819
Separations,Mid-Maryland WIA,Maryland Separations by Industry,2017Q2,61,Educational Services,2377
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2019Q1,61,Educational Services,6.6000000000000005
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2015Q2,61,Educational Services,5.6000000000000005
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2021Q2,61,Educational Services,5.4
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2018Q3,61,Educational Services,3.8
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2022Q3,61,Educational Services,0
Turnover,Mid-Maryland WIA,Maryland Turnover Rate by Industry,2020Q4,61,Educational Services,4.3999999999999995
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2020Q2,61,Educational Services,18684
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2021Q3,61,Educational Services,18121
Workers,Mid-Maryland WIA,Maryland Workers by Industry,2018Q4,61,Educational Services,19004
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2015Q1,52,Finance and Insurance,8500
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2020Q1,52,Finance and Insurance,10232
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2017Q2,52,Finance and Insurance,7029
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2022Q2,52,Finance and Insurance,8958
Earnings,Mid-Maryland WIA,Maryland Average Earnings by Industry,2021Q4,52,Finance and Insurance,11013
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q1,52,Finance and Insurance,190
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2015Q2,52,Finance and Insurance,177
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2020Q2,52,Finance and Insurance,58
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2017Q3,52,Finance and Insurance,-48
Job Change,Mid-Maryland WIA,Maryland Job Net Change by Industry,2022Q3,52,Finance and Insurance,0
